No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
101,Creator Economy,"creator, influencer, social, content, viral",#EC4899,#F472B6,#8B5CF6,#FDF2F8,#831843,#FBCFE8,Vibrant Pink + Purple gradient + Playful accents,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#8B5CF6', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(139,92,246,0.4); text-shadow: 0 0 10px rgba(139,92,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#8B5CF6', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#8B5CF6"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5CF6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
102,Enterprise Neutral 2025,"enterprise, corporate, professional, modern, neutral",#334155,#64748B,#3B82F6,#F8FAFC,#0F172A,#E2E8F0,Modern Slate + Cool Gray + Single Blue accent,"{ primary: '#334155', secondary: '#64748B', cta: '#3B82F6', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(59,130,246,0.4); text-shadow: 0 0 10px rgba(59,130,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#475B76', secondary: '#64748B', cta: '#3B82F6', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#334155"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#3B82F6"",""destructive"":""#EF4444""}","[""#597295"",""#465975"",""#334155"",""#202935"",""#0d1015"",""#64748b"",""#4f5b6d""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#334155"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#3B82F6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#334155""}"
103,Dark Mode OLED,"oled, dark, amoled, night, power-saving",#000000,#0A0A0A,#3B82F6,#000000,#FAFAFA,#1F1F1F,Pure Black + Near Black + Vibrant accent + High contrast,"{ primary: '#000000', secondary: '#0A0A0A', cta: '#3B82F6', background: '#000000', foreground: '#FAFAFA' }","box-shadow: 0 0 20px rgba(59,130,246,0.4); text-shadow: 0 0 10px rgba(59,130,246,0.6);","{ background: '#000000', text: '#FAFAFA', primary: '#000000', secondary: '#0A0A0A', cta: '#3B82F6', border: '#1F1F1F' }","{""background"":""#000000"",""foreground"":""#FAFAFA"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0A0A0A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#3B82F6"",""destructive"":""#EF4444""}","[""#333333"",""#1a1a1a"",""#000000"",""#000000"",""#000000"",""#0a0a0a"",""#000000""]","{""background"":""#000000"",""foreground"":""#FAFAFA"",""card"":""#0C0C0C"",""card-foreground"":""#FAFAFA"",""popover"":""#0C0C0C"",""popover-foreground"":""#FAFAFA"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0A0A0A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#3B82F6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1F1F1F"",""input"":""#262626"",""ring"":""#000000""}"
104,Pantone 2024 Peach Fuzz,"pantone, 2024, peach, warm, cozy",#FFBE98,#FFD4B8,#FF8552,#FFF5EE,#5D3A29,#FFE4D6,Peach Fuzz 13-1023 ecosystem + Warm neutrals,"{ primary: '#FFBE98', secondary: '#FFD4B8', cta: '#FF8552', background: '#FFF5EE', foreground: '#5D3A29' }","box-shadow: 0 0 20px rgba(255,133,82,0.4); text-shadow: 0 0 10px rgba(255,133,82,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FFBE98', secondary: '#FFD4B8', cta: '#FF8552', border: '#27272A' }","{""background"":""#FFF5EE"",""foreground"":""#5D3A29"",""primary"":""#FFBE98"",""primary-foreground"":""#000000"",""secondary"":""#FFD4B8"",""secondary-foreground"":""#000000"",""muted"":""#bb8164"",""accent"":""#FF8552"",""destructive"":""#EF4444""}","[""#fffefe"",""#ffdecb"",""#FFBE98"",""#ff9e65"",""#ff7e32"",""#ffd4b8"",""#ffb585""]","{""background"":""#FFF5EE"",""foreground"":""#5D3A29"",""card"":""#FFFFFF"",""card-foreground"":""#5D3A29"",""popover"":""#FFFFFF"",""popover-foreground"":""#5D3A29"",""primary"":""#FFBE98"",""primary-foreground"":""#000000"",""secondary"":""#FFD4B8"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FF8552"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FFE4D6"",""input"":""#FFE4D6"",""ring"":""#FFBE98""}"
105,Pantone 2025 Mocha Mousse,"pantone, 2025, mocha, brown, earthy",#A47551,#C49A6C,#8B5A2B,#FAF5F0,#3D2914,#E8DDD4,Mocha Mousse 17-1230 ecosystem + Coffee tones,"{ primary: '#A47551', secondary: '#C49A6C', cta: '#8B5A2B', background: '#FAF5F0', foreground: '#3D2914' }","box-shadow: 0 0 20px rgba(139,90,43,0.4); text-shadow: 0 0 10px rgba(139,90,43,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#A47551', secondary: '#C49A6C', cta: '#A66C33', border: '#27272A' }","{""background"":""#FAF5F0"",""foreground"":""#3D2914"",""primary"":""#A47551"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C49A6C"",""secondary-foreground"":""#000000"",""muted"":""#b0763a"",""accent"":""#8B5A2B"",""destructive"":""#EF4444""}","[""#c9aa92"",""#b88f70"",""#A47551"",""#825d40"",""#60442f"",""#c49a6c"",""#b48148""]","{""background"":""#FAF5F0"",""foreground"":""#3D2914"",""card"":""#FFFFFF"",""card-foreground"":""#3D2914"",""popover"":""#FFFFFF"",""popover-foreground"":""#3D2914"",""primary"":""#A47551"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C49A6C"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5A2B"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8DDD4"",""input"":""#E8DDD4"",""ring"":""#A47551""}"
106,Pantone 2026 Serene Blue,"pantone, 2026, blue, calm, predicted",#6B9AC4,#A4C4E0,#4A7BA7,#F0F7FF,#1E3A5F,#D6E8F5,Predicted Serene Blue ecosystem + Tranquil tones,"{ primary: '#6B9AC4', secondary: '#A4C4E0', cta: '#4A7BA7', background: '#F0F7FF', foreground: '#1E3A5F' }","box-shadow: 0 0 20px rgba(74,123,167,0.4); text-shadow: 0 0 10px rgba(74,123,167,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6B9AC4', secondary: '#A4C4E0', cta: '#4A7BA7', border: '#27272A' }","{""background"":""#F0F7FF"",""foreground"":""#1E3A5F"",""primary"":""#6B9AC4"",""primary-foreground"":""#000000"",""secondary"":""#A4C4E0"",""secondary-foreground"":""#000000"",""muted"":""#4f83c7"",""accent"":""#4A7BA7"",""destructive"":""#EF4444""}","[""#b4cce1"",""#8fb3d3"",""#6B9AC4"",""#4881b4"",""#396790"",""#a4c4e0"",""#7eabd3""]","{""background"":""#F0F7FF"",""foreground"":""#1E3A5F"",""card"":""#FFFFFF"",""card-foreground"":""#1E3A5F"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E3A5F"",""primary"":""#6B9AC4"",""primary-foreground"":""#000000"",""secondary"":""#A4C4E0"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#4A7BA7"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D6E8F5"",""input"":""#D6E8F5"",""ring"":""#6B9AC4""}"
107,Accessible High Contrast,"accessible, wcag, high-contrast, a11y, inclusive",#000000,#0000EE,#006400,#FFFFFF,#000000,#000000,Pure Black + Link Blue + High Contrast Green 7:1+ ratio,"{ primary: '#000000', secondary: '#0000EE', cta: '#006400', background: '#FFFFFF', foreground: '#000000' }","box-shadow: 0 0 20px rgba(0,100,0,0.4); text-shadow: 0 0 10px rgba(0,100,0,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#000000', secondary: '#0000FF', cta: '#007800', border: '#27272A' }","{""background"":""#FFFFFF"",""foreground"":""#000000"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0000EE"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4d4d4d"",""accent"":""#006400"",""destructive"":""#EF4444""}","[""#333333"",""#1a1a1a"",""#000000"",""#000000"",""#000000"",""#0000ee"",""#0000bb""]","{""background"":""#FFFFFF"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0000EE"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#006400"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#000000"",""input"":""#000000"",""ring"":""#000000""}"
108,Gen Z Pop,"gen-z, vibrant, bright, youth, energetic",#FF00FF,#00FFFF,#FFFF00,#000000,#FFFFFF,#333333,Magenta + Cyan + Yellow primaries + High energy,"{ primary: '#FF00FF', secondary: '#00FFFF', cta: '#FFFF00', background: '#000000', foreground: '#FFFFFF' }","box-shadow: 0 0 20px rgba(255,255,0,0.4); text-shadow: 0 0 10px rgba(255,255,0,0.6);","{ background: '#000000', text: '#FFFFFF', primary: '#FF00FF', secondary: '#00FFFF', cta: '#FFFF00', border: '#333333' }","{""background"":""#000000"",""foreground"":""#FFFFFF"",""primary"":""#FF00FF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#00FFFF"",""secondary-foreground"":""#000000"",""muted"":""#ffffff"",""accent"":""#FFFF00"",""destructive"":""#EF4444""}","[""#ff66ff"",""#ff33ff"",""#FF00FF"",""#cc00cc"",""#990099"",""#00ffff"",""#00cccc""]","{""background"":""#000000"",""foreground"":""#FFFFFF"",""card"":""#0C0C0C"",""card-foreground"":""#FFFFFF"",""popover"":""#0C0C0C"",""popover-foreground"":""#FFFFFF"",""primary"":""#FF00FF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#00FFFF"",""secondary-foreground"":""#000000"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#FFFF00"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#333333"",""input"":""#262626"",""ring"":""#FF00FF""}"
109,Calm Tech Wellness,"calm, wellness, meditation, mindful, serene",#A7C4BC,#D4E4DE,#8BA888,#F8FAF9,#2C3E36,#E0EBE7,Sage Green + Soft Teal + Muted Earth + Peaceful,"{ primary: '#A7C4BC', secondary: '#D4E4DE', cta: '#8BA888', background: '#F8FAF9', foreground: '#2C3E36' }","box-shadow: 0 0 20px rgba(139,168,136,0.4); text-shadow: 0 0 10px rgba(139,168,136,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#A7C4BC', secondary: '#D4E4DE', cta: '#8BA888', border: '#27272A' }","{""background"":""#F8FAF9"",""foreground"":""#2C3E36"",""primary"":""#A7C4BC"",""primary-foreground"":""#000000"",""secondary"":""#D4E4DE"",""secondary-foreground"":""#000000"",""muted"":""#6c9784"",""accent"":""#8BA888"",""destructive"":""#EF4444""}","[""#e4edea"",""#c6d8d3"",""#A7C4BC"",""#88b0a5"",""#6a9b8d"",""#d4e4de"",""#b5d0c6""]","{""background"":""#F8FAF9"",""foreground"":""#2C3E36"",""card"":""#FFFFFF"",""card-foreground"":""#2C3E36"",""popover"":""#FFFFFF"",""popover-foreground"":""#2C3E36"",""primary"":""#A7C4BC"",""primary-foreground"":""#000000"",""secondary"":""#D4E4DE"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8BA888"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E0EBE7"",""input"":""#E0EBE7"",""ring"":""#A7C4BC""}"
110,Web3 Cyberpunk,"web3, crypto, cyberpunk, neon, blockchain",#00FFFF,#FF00FF,#FFFF00,#0D0D0D,#E0E0E0,#1A1A2E,Neon Cyan + Magenta + Electric accents + Dark base,"{ primary: '#00FFFF', secondary: '#FF00FF', cta: '#FFFF00', background: '#0D0D0D', foreground: '#E0E0E0' }","box-shadow: 0 0 20px rgba(255,255,0,0.4); text-shadow: 0 0 10px rgba(255,255,0,0.6);","{ background: '#0D0D0D', text: '#E0E0E0', primary: '#00FFFF', secondary: '#FF00FF', cta: '#FFFF00', border: '#1A1A2E' }","{""background"":""#0D0D0D"",""foreground"":""#E0E0E0"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#FF00FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FFFF00"",""destructive"":""#EF4444""}","[""#66ffff"",""#33ffff"",""#00FFFF"",""#00cccc"",""#009999"",""#ff00ff"",""#cc00cc""]","{""background"":""#0D0D0D"",""foreground"":""#E0E0E0"",""card"":""#191919"",""card-foreground"":""#E0E0E0"",""popover"":""#191919"",""popover-foreground"":""#E0E0E0"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#FF00FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#252525"",""muted-foreground"":""#A1A1AA"",""accent"":""#FFFF00"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1A1A2E"",""input"":""#313131"",""ring"":""#00FFFF""}"
111,Sustainability Earth,"sustainable, organic, earth, natural, eco",#6B8E23,#DEB887,#8FBC8F,#FFFAF0,#2F4F2F,#D2C4A8,Olive Green + Burlap + Earth Brown + Natural textures,"{ primary: '#6B8E23', secondary: '#DEB887', cta: '#8FBC8F', background: '#FFFAF0', foreground: '#2F4F2F' }","box-shadow: 0 0 20px rgba(143,188,143,0.4); text-shadow: 0 0 10px rgba(143,188,143,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6B8E23', secondary: '#DEB887', cta: '#8FBC8F', border: '#27272A' }","{""background"":""#FFFAF0"",""foreground"":""#2F4F2F"",""primary"":""#6B8E23"",""primary-foreground"":""#FFFFFF"",""secondary"":""#DEB887"",""secondary-foreground"":""#000000"",""muted"":""#6ea96e"",""accent"":""#8FBC8F"",""destructive"":""#EF4444""}","[""#a4d146"",""#8ab72d"",""#6B8E23"",""#4c6519"",""#2d3c0f"",""#deb887"",""#d3a05f""]","{""background"":""#FFFAF0"",""foreground"":""#2F4F2F"",""card"":""#FFFFFF"",""card-foreground"":""#2F4F2F"",""popover"":""#FFFFFF"",""popover-foreground"":""#2F4F2F"",""primary"":""#6B8E23"",""primary-foreground"":""#FFFFFF"",""secondary"":""#DEB887"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8FBC8F"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D2C4A8"",""input"":""#D2C4A8"",""ring"":""#6B8E23""}"
112,Premium Luxury Minimal,"luxury, premium, minimal, elegant, sophisticated",#1A1A1A,#C9B037,#FFFFFF,#FAFAFA,#0A0A0A,#E5E5E5,Near Black + Gold accent + White space + Refined,"{ primary: '#1A1A1A', secondary: '#C9B037', cta: '#FFFFFF', background: '#FAFAFA', foreground: '#0A0A0A' }","box-shadow: 0 0 20px rgba(255,255,255,0.4); text-shadow: 0 0 10px rgba(255,255,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#242424', secondary: '#C9B037', cta: '#FFFFFF', border: '#27272A' }","{""background"":""#FAFAFA"",""foreground"":""#0A0A0A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C9B037"",""secondary-foreground"":""#000000"",""muted"":""#565656"",""accent"":""#FFFFFF"",""destructive"":""#EF4444""}","[""#4d4d4d"",""#333333"",""#1A1A1A"",""#000000"",""#000000"",""#c9b037"",""#a18d2c""]","{""background"":""#FAFAFA"",""foreground"":""#0A0A0A"",""card"":""#FFFFFF"",""card-foreground"":""#0A0A0A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0A0A0A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C9B037"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFFFFF"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#1A1A1A""}"
113,Kids Baby Parenting App,"kids, children, baby, parenting, family, childcare, toddler, infant, playful, friendly",#F472B6,#34D399,#FB923C,#FFFBEB,#57534E,#FDE68A,Soft Pink + Mint Green + Warm Orange CTA for playful friendly childcare experience,"{ primary: '#F472B6', secondary: '#34D399', cta: '#FB923C', background: '#FFFBEB', foreground: '#57534E' }","box-shadow: 0 0 20px rgba(244,114,182,0.3); text-shadow: 0 0 10px rgba(52,211,153,0.4);","{ background: '#1F2937', text: '#F9FAFB', primary: '#F472B6', secondary: '#34D399', cta: '#FB923C', border: '#374151' }","{""background"":""#FFFBEB"",""foreground"":""#57534E"",""primary"":""#F472B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#FEF3C7"",""accent"":""#FB923C"",""destructive"":""#EF4444""}","[""#fbcfe8"",""#f9a8d4"",""#F472B6"",""#ec4899"",""#db2777"",""#34d399"",""#10b981""]","{""background"":""#FFFBEB"",""foreground"":""#57534E"",""card"":""#FFFFFF"",""card-foreground"":""#57534E"",""popover"":""#FFFFFF"",""popover-foreground"":""#57534E"",""primary"":""#F472B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#FEF3C7"",""muted-foreground"":""#78716C"",""accent"":""#FB923C"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FDE68A"",""input"":""#FDE68A"",""ring"":""#F472B6""}"
114,Manufacturing Industrial Platform,"manufacturing, industrial, factory, production, assembly, machinery, warehouse, logistics",#1E40AF,#EA580C,#16A34A,#F1F5F9,#1E293B,#CBD5E1,Industrial Blue + Safety Orange + Action Green CTA for production and logistics,"{ primary: '#1E40AF', secondary: '#EA580C', cta: '#16A34A', background: '#F1F5F9', foreground: '#1E293B' }","box-shadow: 0 0 15px rgba(30,64,175,0.3); text-shadow: none;","{ background: '#0F172A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#F97316', cta: '#22C55E', border: '#334155' }","{""background"":""#F1F5F9"",""foreground"":""#1E293B"",""primary"":""#1E40AF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#EA580C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E2E8F0"",""accent"":""#16A34A"",""destructive"":""#DC2626""}","[""#93c5fd"",""#60a5fa"",""#1E40AF"",""#1e3a8a"",""#172554"",""#ea580c"",""#c2410c""]","{""background"":""#F1F5F9"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#1E40AF"",""primary-foreground"":""#FFFFFF"",""secondary"":""#EA580C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E2E8F0"",""muted-foreground"":""#64748B"",""accent"":""#16A34A"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#1E40AF""}"
115,Crowdfunding Fundraising Platform,"crowdfunding, fundraising, kickstarter, donation, campaign, pledge, backer, community, funding",#0D9488,#22C55E,#F97316,#FAFAFA,#374151,#E5E7EB,Trust Teal + Progress Green + Urgency Orange CTA for crowdfunding campaigns,"{ primary: '#0D9488', secondary: '#22C55E', cta: '#F97316', background: '#FAFAFA', foreground: '#374151' }","box-shadow: 0 0 20px rgba(13,148,136,0.3); text-shadow: 0 0 10px rgba(34,197,94,0.4);","{ background: '#111827', text: '#F9FAFB', primary: '#14B8A6', secondary: '#34D399', cta: '#FB923C', border: '#1F2937' }","{""background"":""#FAFAFA"",""foreground"":""#374151"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#F3F4F6"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#5eead4"",""#2dd4bf"",""#0D9488"",""#0f766e"",""#115e59"",""#22c55e"",""#16a34a""]","{""background"":""#FAFAFA"",""foreground"":""#374151"",""card"":""#FFFFFF"",""card-foreground"":""#374151"",""popover"":""#FFFFFF"",""popover-foreground"":""#374151"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E7EB"",""input"":""#E5E7EB"",""ring"":""#0D9488""}"
